isbn13,bookname,authors,publisher,class_no,class_nm
9788972756194,나미야 잡화점의 기적 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,833.6,문학 > 일본문학 > 소설
9788936433673,엄마를 부탁해 :신경숙 장편소설 ,지은이: 신경숙,창비,813.6,문학 > 한국문학 > 소설
9788956604992,7년의 밤 :정유정 장편소설 ,지은이: 정유정,은행나무,813.7,문학 > 한국문학 > 소설
9788973374113,(趙廷來 大河小說) 太白山脈 ,저자: 조정래,해냄,813.62,문학 > 한국문학 > 소설
9788976491114,뚱딴지 명언 산책,김우영 글.그림,재능출판,199.1,"철학 > 윤리학, 도덕철학 > 도덕훈, 교훈"
9788936433598,채식주의자:한강 연작소설,한강,창비,813.6,문학 > 한국문학 > 소설
9788996991342,미움받을 용기 :자유롭고 행복한 삶을 위한 아들러의 가르침 ,"기시미 이치로,전경아 옮김",인플루엔셜,189.2,철학 > 심리학 > 응용심리학 일반
9788937473135,82년생 김지영 :조남주 장편소설 ,지은이: 조남주,민음사,813.7,문학 > 한국문학 > 소설
9788990611260,틀려도 괜찮아,마키타 신지 글;유문조 옮김,토토북,833.6,문학 > 일본문학 > 소설
9788965744023,정글만리 :조정래 장편소설,저자: 조정래,해냄출판사,813.62,문학 > 한국문학 > 소설
9788957090251,박사가 사랑한 수식,오가와 요코 지음;김난주 옮김,이레,833.6,문학 > 일본문학 > 소설
9788965700609,"멈추면, 비로소 보이는 것들 :혜민 스님과 함께하는 내 마음 다시보기 ",혜민 지음 ;우창헌 그림,쌤앤파커스,818,문학 > 한국문학 > 르포르타주 및 기타
9788986621136,강아지똥 ,글: 권정생 ;그림: 정승각,길벗어린이,813.6,문학 > 한국문학 > 소설
9788982814471,연금술사,파울로 코엘료 지음;최정수 옮김,문학동네,879,문학 > 스페인문학 > 포르투갈문학
9788954608640,1Q84 :무라카미 하루키 장편소설,지은이: 무라카미 하루키 ;옮긴이: 양윤옥,문학동네,833.6,문학 > 일본문학 > 소설
9788935652792,마법의 설탕 두 조각,미카엘 엔데 글;유혜자 옮김,한길사,853,문학 > 독일문학 > 소설
9788934908067,책 먹는 여우 ,프란치스카 비어만 지음 ;김경연 옮김,김영사,853,문학 > 독일문학 > 소설
9788936434267,아몬드손원평 장편소설,손원평,창비,813.7,문학 > 한국문학 > 소설
9788984370753,구해줘:기욤 뮈소 장편소설,기욤 뮈소 지음;윤미연 옮김,밝은세상,863,문학 > 프랑스문학 > 소설
9788934972464,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ",지은이: 유발 하라리 ;옮긴이: 조현욱,김영사,909,"역사 > 역사 > 세계사, 세계문화사"
9788963700342,(조선의 마지막 황녀) 덕혜옹주 :권비영 장편소설 ,지은이: 권비영,다산북스,813.7,문학 > 한국문학 > 소설
9788934939603,정의란 무엇인가 ,저자: 마이클 샌델 ;역자: 이창신,김영사,193,"철학 > 윤리학, 도덕철학 > 국가 및 정치윤리"
9788936433871,두근두근 내 인생 :김애란 장편소설 ,지은이: 김애란,창비,813.7,문학 > 한국문학 > 소설
9788995151204,난장이가 쏘아올린 작은 공:조세희 소설집,조세희,이성과 힘,813.6,문학 > 한국문학 > 소설
9788936434120,소년이 온다 :한강 장편소설 ,지은이: 한강,창비,813.62,문학 > 한국문학 > 소설
9788972753698,용의자 X의 헌신,히가시노 게이고 지음;양억관 옮김,현대문학,833.6,문학 > 일본문학 > 소설
9788954622035,살인자의 기억법 :김영하 장편소설 ,지은이: 김영하,문학동네,813.62,문학 > 한국문학 > 소설
9788986621105,만희네 집 ,글·그림: 권윤덕,길벗어린이,813.7,문학 > 한국문학 > 소설
9788965700036,아프니까 청춘이다 :인생 앞에 홀로 선 젊은 그대에게 ,김난도 지음,쌤앤파커스,199.5,"철학 > 윤리학, 도덕철학 > 도덕훈, 교훈"
9788949190020,모모,미하엘 엔데 지음;한미희 옮김,비룡소,853,문학 > 독일문학 > 소설
9788932916194,창문 넘어 도망친 100세 노인 :요나스 요나손 장편소설 ,지은이: 요나스 요나손 ;옮긴이: 임호경,열린책들,859.7,문학 > 독일문학 > 기타 게르만 문학
9791195522125,언어의 온도 :말과 글에는 나름의 따뜻함과 차가움이 있다 ,지은이: 이기주,말글터,818,문학 > 한국문학 > 르포르타주 및 기타
9788984371026,빅 픽처 :더글라스 케네디 장편소설 ,지은이: 더글라스 케네디 ;옮긴이: 조동섭,밝은 세상,843.5,문학 > 영미문학 > 소설
9788956609959,종의 기원 =정유정 장편소설 /The origin of species ,지은이: 정유정,은행나무,813.7,문학 > 한국문학 > 소설
9788965744030,정글만리 :조정래 장편소설,저자: 조정래,해냄출판사,813.62,문학 > 한국문학 > 소설
9788983920683,해리포터와 마법사의 돌,조앤 K. 롤링 지음 ;김혜원 옮김,문학수첩,843.6,문학 > 영미문학 > 소설
9788983920690,해리포터와 마법사의 돌,조앤 K. 롤링 지음;김혜원 옮김,문학수첩,843,문학 > 영미문학 > 소설
9788936433697,위저드 베이커리 =구병모 장편소설 /Wizard bakery ,지은이: 구병모,창비,813.7,문학 > 한국문학 > 소설
9788986565065,손 큰 할머니의 만두 만들기 ,글: 채인선 ;그림: 이억배,재미마주,813.6,문학 > 한국문학 > 소설
9788937838750,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,833.6,문학 > 일본문학 > 소설
9788937842184,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,대한교과서,400,자연과학 > 자연과학 > 자연과학
9788901033518,돼지책,앤서니 브라운 글·그림;허은미 옮김,웅진닷컴,843,문학 > 영미문학 > 소설
9788970940199,도깨비를 빨아 버린 우리 엄마,사토 와키코,한림출판사,833.8,문학 > 일본문학 > 소설
9788936433635,완득이 :김려령 장편소설 ,김려령,창비,813.6,문학 > 한국문학 > 소설
9788956607030,28 :정유정 장편소설 ,지은이: 정유정,은행나무,813.7,문학 > 한국문학 > 소설
9788970123691,상실의 시대 :무라카미 하루키 장편소설 ,지은이: 무라카미 하루키 ;옮긴이: 유유정,문학사상,833.6,문학 > 일본문학 > 소설
9788986565041,세상에서 제일 힘센 수탉 ,글쓴이: 이호백 ;그린이: 이억배,재미마주,813.6,문학 > 한국문학 > 소설
9788986621198,솔이의 추석 이야기 ,글·그림: 이억배,길벗어린이,813.7,문학 > 한국문학 > 소설
9788937853470,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,833.6,문학 > 일본문학 > 소설
9788965744047,정글만리 :조정래 장편소설,저자: 조정래,해냄출판사,813.62,문학 > 한국문학 > 소설
9788991239685,백설공주에게 죽음을 ,넬레 노이하우스 지음 ;김진아 옮김,북로드,853,문학 > 독일문학 > 소설
9788984370791,"당신, 거기 있어줄래요?:기욤 뮈소 장편소설",기욤 뮈소 [지음];전미연 옮김,밝은세상,863,문학 > 프랑스문학 > 소설
9788937889714,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,833.6,문학 > 일본문학 > 소설
9788954427173,시간을 파는 상점 :김선영 장편소설 ,지은이: 김선영,자음과모음,813.7,문학 > 한국문학 > 소설
9788989863786,100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,833.6,문학 > 일본문학 > 소설
9788936446819,수박 수영장 :안녕달 그림책 ,지은이: 안녕달,창비,813.7,문학 > 한국문학 > 소설
9788937842191,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,대한교과서,400,자연과학 > 자연과학 > 자연과학
9788936433703,도가니 :공지영 장편소설 ,지은이: 공지영,창비,813.6,문학 > 한국문학 > 소설
9788983920713,해리포터와 비밀의 방,조앤 K. 롤링 지음;김혜원 옮김,문학수첩,843,문학 > 영미문학 > 소설
9788937842214,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,대한교과서,400,자연과학 > 자연과학 > 자연과학
9788971967751,똥벼락,김회경 글;조혜란 그림,사계절출판사,813.6,문학 > 한국문학 > 소설
9788956601021,공중그네:오쿠다 히데오 장편소설,오쿠다 히데오 지음;이영미 옮김,은행나무,833.6,문학 > 일본문학 > 소설
9788971844427,지도 밖으로 행군하라=Marching off the map,한비야 지음,푸른숲,816.6,"문학 > 한국문학 > 일기, 서간, 기행"
9788937848247,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,833.6,문학 > 일본문학 > 소설
9788970127248,"총, 균, 쇠 :무기, 병균, 금속 은 인류 의 운명 을 어떻게 바꿨는가 ",재레드 다이아몬드 지음 ;김진준 옮김,문학사상,389,"사회과학 > 풍속, 민속학 > 민족학"
9788932908557,신 :베르나르 베르베르 장편소설,베르나르 베르베르 [지음] ;이세욱 옮김,열린책들,863,문학 > 프랑스문학 > 소설
9788990103208,(만화로 보는)그리스 로마 신화,토머스 불핀치 지음;홍은영 그림,가나출판사,219,"종교 > 비교종교학 > 신화, 신화학"
9791130605210,오베라는 남자 :프레드릭 배크만 장편소설 ,지은이: 프레드릭 배크만 ;옮긴이: 최민우,다산북스,859.7,문학 > 독일문학 > 기타 게르만 문학
9788990982575,가면산장 살인사건 ,지은이: 히가시노 게이고 ;옮긴이: 김난주,재인,833.6,문학 > 일본문학 > 소설
9788986565522,짜장 짬뽕 탕수육,김영주 글;고경숙 그림,재미마주,813.6,문학 > 한국문학 > 소설
9788937842221,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,대한교과서,400,자연과학 > 자연과학 > 자연과학
9791187119845,나는 나로 살기로 했다 :냉담한 현실에서 어른살이를 위한 to do list ,글·그림: 김수현,마음의숲,818,문학 > 한국문학 > 르포르타주 및 기타
9788937842245,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,대한교과서,400,자연과학 > 자연과학 > 자연과학
9788983921437,해리포터와 불사조 기사단,조앤 K. 롤링 저;최인자 옮김,문학수첩,843,문학 > 영미문학 > 소설
9788937842252,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,대한교과서,400,자연과학 > 자연과학 > 자연과학
9791195794799,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,911,역사 > 아시아(아세아) > 한국
9788937842207,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,대한교과서,400,자연과학 > 자연과학 > 자연과학
9788954608657,1Q84 :무라카미 하루키 장편소설,지은이: 무라카미 하루키 ;옮긴이: 양윤옥,문학동네,833.6,문학 > 일본문학 > 소설
9788937842269,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,대한교과서,400,자연과학 > 자연과학 > 자연과학
9788964960035,나는 나의 주인 ,채인선 글 ;안은진 그림,토토북,189,철학 > 심리학 > 응용심리학 일반
9788990103192,(만화로 보는)그리스 로마 신화,토머스 불핀치 지음;홍은영 그림,가나출판사,219,"종교 > 비교종교학 > 신화, 신화학"
9788937842238,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,대한교과서,400,자연과학 > 자연과학 > 자연과학
9788993964264,고구려 :김진명 역사소설,지은이: 김진명,새움출판사,813.62,문학 > 한국문학 > 소설
9791162332542,추리 천재 엉덩이 탐정 5 - 유적에서 날아온 SOS 사건,트롤,아이세움,833.8,문학 > 일본문학 > 소설
9788984371071,종이 여자 :기욤 뮈소 장편소설 ,지은이: 기욤 뮈소 ;옮긴이: 전미연,밝은세상,863,문학 > 프랑스문학 > 소설
9788956602998,내 심장을 쏴라 :정유정 장편소설 ,지은이: 정유정,은행나무,813.6,문학 > 한국문학 > 소설
9788965132288,어떻게 살 것인가 ,지은이: 유시민,아름다운사람들,340.4,사회과학 > 정치학 > 정치학
9788949110004,우화 ,이보나 흐미엘레프스카 지음,비룡소,892.95,문학 > 기타 제문학 > 인도-유럽계문학
9788950906061,마법천자문:손오공의 한자 대탐험,시리얼 글·그림,북21아울북,711.4,"언어 > 한국어 > 음운, 음성, 문자"
